trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,unfreeze_from_layer,val_accuracy
0,5.201600702607693e-05,0.2028672036927243,256,64,4.189583451327915e-05,4,0.7089552238805971
1,0.00012766799856922992,0.17992210884710358,256,16,0.000101003179566202,4,0.7313432835820896
2,1.5345202429658207e-05,0.17399717524769254,128,32,1.2627592727174149e-05,2,0.7089552238805971
3,0.00029553523812740515,0.47968607184294054,64,32,3.709976465178951e-05,3,0.7388059701492538
4,8.801813621679603e-05,0.30057926940291024,64,64,1.0958529489920787e-05,4,0.7238805970149254
5,2.9191549446207552e-05,0.27053655877301674,256,16,0.0005521438744160194,2,0.7686567164179104
6,1.0232583333709136e-05,0.16513943637918316,256,32,2.4732218536155216e-05,3,0.39552238805970147
7,3.514976700662443e-05,0.10551205571479644,64,64,1.0014830116680519e-06,2,0.41044776119402987
8,0.00030654620362415794,0.3663557436205792,128,64,0.00011050937530340537,4,0.7761194029850746
9,9.756546353907688e-05,0.4786393318931109,128,32,0.00023752232500716795,4,0.582089552238806
10,0.0008498878154350203,0.3700199757823861,128,64,0.000996756935215901,4,0.582089552238806
11,0.00031677651651899923,0.35246791585156323,128,16,0.0006972945873622024,2,0.7313432835820896
12,0.0003315009057364121,0.39447393726395014,256,16,0.00022867098941556366,2,0.7761194029850746
13,0.00042956842356218247,0.4152427501416379,256,16,0.00016366371664085154,2,0.7611940298507462
14,0.00019736583470070617,0.40792790768604686,128,64,9.922536979655377e-05,3,0.5746268656716418
15,0.0007871025783300647,0.31320960613010324,256,16,0.00027741912333750335,4,0.6791044776119403
16,0.00042590926698026394,0.4218397725289666,128,16,2.5621789359158583e-06,2,0.753731343283582
17,0.00018036417055886737,0.23909194236206477,128,64,9.464025132032618e-05,2,0.7761194029850746
18,0.000529691043505055,0.3498280474892427,256,64,0.00044636062347856487,4,0.6194029850746269
19,0.0002166732601832418,0.4435474480435148,64,16,5.715692871212445e-05,3,0.6268656716417911
20,0.0005777002395112712,0.3810788625036209,256,64,1.7498688446450737e-05,4,0.746268656716418
21,0.00015785168449523044,0.24745253066481032,128,64,8.631678456296586e-05,2,0.6194029850746269
22,0.00029415706533354415,0.24583295805871702,128,64,0.00018617102492019354,2,0.7388059701492538
23,0.00023053535363612163,0.3277079770244278,128,64,0.0003591441769859702,2,0.664179104477612
24,6.236573675148992e-05,0.26220655891262956,128,64,0.00013660555915677422,2,0.5074626865671642
25,0.0001595783515553876,0.2234528466502405,128,16,6.235725245842802e-05,2,0.7611940298507462
26,0.0001122756070715922,0.2897665433501597,128,64,8.692150361535152e-06,2,0.5298507462686567
27,0.0003477368154842098,0.4426909382707739,128,64,5.162615643945381e-06,2,0.6044776119402985
28,0.0006445710922342665,0.33608238550250635,64,32,6.0413937170492935e-05,3,0.7014925373134329
29,6.732249385280098e-05,0.3861189195144964,256,16,3.069406510596677e-05,4,0.7238805970149254
30,0.00015773468254303002,0.2106083351466901,256,64,0.0002859751649764246,4,0.6940298507462687
31,2.5954905105107215e-05,0.28805738960956473,256,16,0.0005814096344697976,2,0.5522388059701493
32,3.846586784501862e-05,0.26274241429180023,256,16,0.0001276206849225607,2,0.6119402985074627
33,2.1521965576735863e-05,0.15003531837605527,256,16,0.0004887859546198566,2,0.5746268656716418
34,0.00023942324290674837,0.1860959972743129,256,16,0.000952657560563606,2,0.7089552238805971
35,0.00013242285425034726,0.2769357953624421,256,16,0.00020618491128726325,2,0.7238805970149254
36,1.0119374237335503e-05,0.22088059817971975,256,16,7.875349289206176e-05,4,0.41044776119402987
37,7.870968980049437e-05,0.31048253845575896,64,32,0.00035078817532861436,2,0.5522388059701493
38,4.6156700088618144e-05,0.36018668187693914,128,32,4.318418913666039e-05,3,0.5074626865671642
39,1.5715306310708166e-05,0.12747927261291167,256,64,0.00012950997117239346,4,0.41044776119402987
40,0.00038273132351754997,0.3982069382594029,128,64,0.0006321707841822426,2,0.6194029850746269
41,0.0002786619933930245,0.438292853740462,256,16,0.0001745559074159784,2,0.7238805970149254
42,0.00047997164898241034,0.4910229737026628,256,16,0.00015268734653241093,2,0.6343283582089553
43,0.00018198382378220644,0.46305176037783813,256,16,0.00035523036588711065,2,0.6940298507462687
44,0.0006903651255504085,0.40255936335056824,256,16,0.0002376769530638597,2,0.7835820895522388
45,0.000997095219765976,0.33346164349842755,64,16,0.00024211107628118912,2,0.6268656716417911
46,0.0007260168690555878,0.37247867013380853,256,16,0.00010648785301879412,4,0.746268656716418
47,0.0001236790767958435,0.40157159167611406,128,32,0.0008740747813916337,3,0.6417910447761194
