trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,finetune_stage,max(val_accuracy)
0,6.34E-05,0.422320067,64,32,0.00022073,3,0.768656716
1,5.38E-05,0.104215458,64,16,1.04E-06,3,0.805970149
2,0.000826322,0.153357607,256,16,1.16E-06,3,0.880597015
3,2.28E-05,0.174396359,256,64,1.79E-05,2,0.597014925
4,0.000190885,0.344140547,64,32,0.000159986,2,0.865671642
5,3.29E-05,0.449208361,128,32,1.04E-05,3,0.313432836
6,0.000155794,0.145970249,128,64,0.000376115,2,0.850746269
7,6.71E-05,0.385098793,64,16,0.000300324,3,0.410447761
8,0.000320362,0.10890301,256,16,9.39E-06,2,0.880597015
9,0.000689622,0.333115087,128,32,1.51E-06,2,0.858208955
10,0.000967957,0.236584997,256,16,3.63E-06,3,0.865671642
11,0.000426577,0.246994451,256,16,5.54E-06,2,0.865671642
12,0.000293058,0.102167927,256,16,4.95E-05,2,0.865671642
13,0.000471712,0.199174815,256,16,4.29E-05,3,0.850746269
14,0.000221505,0.270236148,256,16,2.68E-06,3,0.71641791
15,0.00050371,0.167133243,256,16,6.83E-06,2,0.828358209
16,1.23E-05,0.211345884,256,64,1.64E-05,3,0.231343284
17,0.000130429,0.493961945,256,16,7.12E-05,2,0.671641791
18,0.000855462,0.137107647,256,16,0.000933496,3,0.858208955
19,0.000304165,0.293023083,128,64,2.21E-06,2,0.552238806
20,0.000107333,0.132910316,256,16,1.76E-05,2,0.589552239
21,0.000191231,0.343297163,64,32,0.000125113,2,0.552238806
22,0.000339935,0.344322926,64,32,0.000122187,2,0.649253731
23,0.000600396,0.310190736,64,32,2.53E-05,2,0.78358209
24,0.000222476,0.391624313,64,32,0.000758107,2,0.559701493
25,0.000361849,0.191063265,64,32,5.05E-06,2,0.723880597
26,9.48E-05,0.374955801,256,16,9.46E-05,3,0.507462687
27,0.000667327,0.241604166,256,16,1.17E-05,2,0.850746269
28,0.000256697,0.281845665,128,64,1.05E-06,3,0.462686567
29,0.00016053,0.430073724,64,32,0.000188197,3,0.395522388
30,8.88E-05,0.124186202,64,32,3.04E-05,2,0.432835821
31,0.000798968,0.224202608,256,16,3.16E-06,3,0.858208955
32,0.000874194,0.16541268,256,16,1.74E-06,3,0.776119403
33,0.000995313,0.106863303,256,16,3.66E-06,3,0.865671642
34,0.000573808,0.262158441,256,16,9.28E-06,3,0.865671642
35,0.000413601,0.154230825,256,16,1.43E-06,3,0.798507463
36,5.38E-05,0.178727467,64,64,4.70E-06,3,0.298507463
37,0.000998604,0.223905733,128,16,8.33E-06,3,0.865671642
38,0.000697116,0.317368751,256,32,1.08E-06,2,0.791044776
39,3.77E-05,0.115705329,256,16,2.50E-06,2,0.402985075
40,0.000162749,0.368027017,128,16,0.000547825,3,0.574626866
41,0.000469279,0.250608527,256,16,5.06E-06,2,0.843283582
42,0.00039746,0.23800652,256,16,1.23E-05,2,0.791044776
43,0.000270204,0.196307495,256,16,4.05E-06,2,0.835820896
44,0.000527447,0.147499807,256,16,6.43E-06,2,0.865671642
45,0.00071594,0.277450494,256,16,1.85E-06,2,0.835820896
46,0.000417323,0.404661719,256,64,4.93E-05,2,0.649253731
47,0.000209427,0.212427215,256,16,2.26E-05,3,0.679104478
48,0.000130065,0.300165951,64,16,6.96E-06,2,0.567164179
49,0.000329867,0.176954026,256,32,2.94E-06,3,0.723880597
50,1.17E-05,0.322864106,128,16,0.000367803,2,0.388059701
51,0.000270529,0.101432045,256,16,4.11E-05,2,0.746268657
52,0.000495359,0.129453356,256,16,0.000178209,2,0.888059701
53,0.000487932,0.12966304,256,16,0.000229962,2,0.880597015
54,0.000588178,0.128397952,256,16,0.000226422,2,0.798507463
55,0.000806503,0.144244348,256,16,0.000212359,2,0.888059701
56,0.000465901,0.143199842,256,16,0.000221318,2,0.820895522
57,0.000668803,0.162611095,64,32,0.000135967,2,0.768656716
