trial_number,lr,dropout_rate,dense_units,batch_size,weight_decay,unfreeze_from_stage,val_accuracy
0,0.0001,0.4,512,32,1e-06,3,0.8801020408163265
1,5.6833279659078355e-05,0.49502801071661434,576,32,1.0763008541173572e-05,3,0.8724489795918368
2,8.151371891551458e-05,0.23058685578962923,640,64,1.1623955578120403e-06,2,0.8928571428571429
3,0.00013037806767753185,0.2247397429776528,512,16,1.1618086304953334e-07,2,0.9158163265306123
4,0.00013865941741376064,0.390291965521146,384,16,2.1377616848787255e-05,3,0.8877551020408163
5,9.536342251498807e-05,0.2803008091573554,448,64,3.2341336274908553e-07,3,0.5943877551020408
6,7.389685373170423e-05,0.3594002842060182,448,64,1.4745643255291268e-06,2,0.5816326530612245
7,7.730793944939985e-05,0.49145977782405864,448,32,2.0432885500502275e-07,2,0.8852040816326531
8,5.7747841828979275e-05,0.46162941077779013,448,16,3.169954696975196e-05,3,0.6913265306122449
9,6.385281450963073e-05,0.3539022354297532,576,64,4.094277801508036e-06,3,0.5331632653061225
10,0.00019243086168111155,0.21948451000513475,576,16,1.525238706597997e-07,2,0.8979591836734694
11,0.0001976902016789391,0.20057843857709284,576,16,1.3035827322168956e-07,2,0.9132653061224489
12,0.00019818055822617774,0.2860428549575775,640,16,1.1280536464524031e-07,2,0.9005102040816326
13,0.00014700118699754224,0.2726202428006476,512,16,5.568833035233098e-07,2,0.8545918367346939
14,0.00013698295001869632,0.20737038504643335,512,16,1.0074531767503263e-07,2,0.8545918367346939
15,0.00016125733902079076,0.24919139669248666,576,16,4.217622781825325e-07,2,0.9158163265306123
16,0.00012129231083634121,0.30957334322104246,512,16,4.0651874198281725e-07,2,0.9183673469387755
17,0.00011477347719680885,0.31651424758655594,384,16,3.6929354276376677e-06,2,0.9209183673469388
18,0.0001097597482431048,0.3138779412990045,384,16,7.98273861263303e-05,2,0.8494897959183674
19,0.00012385526969023388,0.3196925813796216,384,32,4.911848702462861e-06,2,0.8367346938775511
20,0.0001171306138626519,0.3201424615203013,384,16,2.24223688664783e-06,2,0.8520408163265306
21,9.528510311227135e-05,0.26207220452960506,512,16,7.549891619469991e-06,2,0.8392857142857143
22,0.00012710626758368027,0.3853142118438578,448,16,6.433598740526927e-07,2,0.8392857142857143
23,0.0001635869964558135,0.3064530052722342,512,16,2.576576453591483e-07,2,0.8367346938775511
24,0.00010946226515411124,0.2405848588426447,512,16,2.1850775363218648e-06,2,0.8571428571428571
25,0.00016121538008618714,0.4195551520117126,448,16,8.204191999964272e-07,2,0.8801020408163265
26,8.688596189167915e-05,0.33502319765814303,640,16,2.3939285253612955e-07,2,0.8392857142857143
27,0.00010685936408955806,0.291810519194363,384,16,2.6142159338190254e-06,2,0.8545918367346939
28,0.00012746872645200653,0.3658781327864161,512,32,1.0180343482648776e-05,2,0.8188775510204082
29,0.0001008161939643831,0.3350483342372554,512,64,1.27255339669555e-06,3,0.6352040816326531
30,0.0001729655323686494,0.42467211806451965,448,32,3.952227658886571e-07,2,0.8545918367346939
31,0.00014761055137654507,0.2514831184022776,576,16,4.717665283325588e-07,2,0.8494897959183674
32,0.0001752026068187395,0.25062648303458,576,16,1.870199114154105e-07,2,0.8903061224489796
33,0.00011670930738676448,0.23559569709401273,576,16,8.843310322209146e-07,2,0.8545918367346939
34,0.0001371120328581803,0.2974947465463512,640,16,5.653585011664217e-06,2,0.8622448979591837
35,0.00015448983123787744,0.2219946876804745,512,16,3.513696193703757e-07,2,0.8852040816326531
36,0.0001321694064331087,0.2564198025173552,640,64,1.658663764692425e-06,3,0.7193877551020408
37,9.205063759312373e-05,0.3339925473583184,576,32,1.5589386890110866e-05,2,0.7857142857142857
38,0.00011974257520426988,0.2735585403985943,448,16,7.651193370927378e-07,2,0.9081632653061225
39,0.00014587547782410755,0.26857479681671165,576,64,3.1134706928986923e-07,3,0.7295918367346939
40,0.00018180736232380155,0.21444955543854932,448,16,1.1614736314214308e-06,2,0.8903061224489796
41,0.0001883951439013152,0.2047816076576873,576,16,1.792511331270937e-07,2,0.9260204081632653
42,0.00016896776978071347,0.23052185521528426,576,16,1.664342744612491e-07,2,0.9260204081632653
43,0.0001827148541459775,0.23074827659732472,576,16,1.587523621080629e-07,2,0.8877551020408163
44,5.02150017025827e-05,0.20270623027206724,640,16,1.4529600521599268e-07,2,0.8086734693877551
45,0.00017060600056978718,0.2184754352375297,512,16,2.0020104025982862e-07,2,0.9183673469387755
46,0.0001697311557993795,0.22130288642977128,576,16,2.2769006989284103e-07,2,0.8724489795918368
47,0.0001865905277288845,0.37406557706920207,640,16,3.4535595549746146e-06,2,0.8520408163265306
48,7.105195267231134e-05,0.23969834314507904,576,64,1.0171364074122397e-07,2,0.6147959183673469
49,0.00015329394517865007,0.21097460487625166,512,16,2.007063203330437e-07,2,0.8979591836734694
