trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,finetune_layers,val_accuracy
0,0.00037889470578435827,0.245254360325465,128,32,1.4796128810486487e-06,6,0.7238805890083313
1,0.00020190872796206155,0.16640061993730065,256,64,6.356217427159174e-05,2,0.7686567306518555
2,9.236054565447816e-05,0.28014853567654197,256,16,9.008470023752537e-06,6,0.8283582329750061
3,1.2219106583888551e-05,0.26748041204855233,256,64,9.869891376498094e-06,4,0.5970149040222168
4,5.245594871621141e-05,0.3805108130411463,256,64,6.51218389814564e-05,4,0.7238805890083313
5,1.651908678757325e-05,0.37103568458684666,128,16,1.954040801096341e-06,4,0.753731369972229
6,0.0002958452528639682,0.22094026289414642,128,16,0.0006914815861251082,6,0.17910447716712952
7,1.5386681745350295e-05,0.33553267218875554,128,32,2.00191705225519e-05,6,0.44029849767684937
8,3.8878794790773e-05,0.3089863781549429,256,64,0.0001282952780258658,4,0.11940298229455948
9,4.3338845653507205e-05,0.15071013473935002,128,64,1.1250056487190473e-05,2,0.17910447716712952
10,0.0008907037961421334,0.4793851904039657,64,16,4.422688404055328e-06,6,0.24626865983009338
11,0.0001469633432254997,0.10818657041166604,256,16,0.0001948337504955232,2,0.7910447716712952
12,0.000117855638247405,0.10045650758936688,256,16,0.0004573810281150002,2,0.2014925330877304
13,9.128235088013453e-05,0.45654232379729415,64,16,0.00016601208392793808,2,0.49253731966018677
14,0.00012175429570125612,0.19019978193247306,256,16,0.00023170848098937014,6,0.8134328126907349
15,7.594521497357936e-05,0.19683645916642878,256,16,3.2771790490130624e-05,6,0.7910447716712952
16,2.5992825502356733e-05,0.2474886098642476,256,16,3.905084897137344e-06,6,0.447761207818985
17,0.0005209724614391634,0.18336813413057093,64,32,0.00032529528918950857,6,0.43283581733703613
18,6.838824572813441e-05,0.2832717372871713,256,16,4.511346575622445e-05,6,0.8432835936546326
19,6.148304480345276e-05,0.41458353403212966,256,16,3.0423424210329346e-05,6,0.4776119291782379
20,2.4038548251051057e-05,0.3074959244683386,64,32,7.169158082581001e-06,6,0.11940298229455948
21,0.00015440313720607168,0.28388765388596787,256,16,7.75697679073287e-05,6,0.46268656849861145
22,0.00021963462646301592,0.2180200829066514,256,16,1.8867113072810535e-05,6,0.447761207818985
23,0.00010425767785567868,0.34448359922401117,256,16,3.800338627264396e-05,6,0.43283581733703613
24,3.1597621923643765e-05,0.14174748081801283,256,16,9.26648880818507e-05,6,0.8134328126907349
25,7.032477832900056e-05,0.24950456171545426,256,16,0.0009438029578610786,6,0.08208955079317093
26,0.0001277822993188386,0.2944380119202821,256,16,2.7250722686668734e-06,6,0.21641790866851807
27,0.00022868210618132568,0.21380331998171015,256,16,0.0002616366207329965,6,0.3208955228328705
28,8.848502295114574e-05,0.32376232565871643,64,16,1.6089024350233663e-05,6,0.3955223858356476
29,0.0003346926085318302,0.26563431661939724,256,32,4.542245941916325e-05,4,0.46268656849861145
30,4.543190659584617e-05,0.3708375356053609,128,32,1.0881107896590288e-06,6,0.38805970549583435
31,3.4198188231454844e-05,0.16531606286843895,256,16,0.0001332591424237471,6,0.2761194109916687
32,2.942004827984654e-05,0.13702459336850603,256,16,9.06256391704345e-05,6,0.4776119291782379
33,5.710933414154464e-05,0.12489088315187795,256,16,9.404210552565938e-05,6,0.5522388219833374
34,0.00015560793643363405,0.1819550961642582,256,64,4.804522206079578e-05,6,0.17164179682731628
35,1.8873529273889493e-05,0.2734972632536995,256,16,7.699275315853368e-06,4,0.08208955079317093
36,1.0489582276031904e-05,0.22562894346017215,256,16,0.00037458887556246224,6,0.2985074520111084
37,5.12502585554763e-05,0.15234262233928136,256,64,5.816210252824276e-05,2,0.14179104566574097
38,8.189076662025349e-05,0.19905765767533778,128,16,2.7594265170700204e-05,4,0.31343284249305725
39,0.0004718245099030858,0.2366923807425369,256,16,0.00022636964373405207,6,0.18656715750694275
40,3.22785144649317e-05,0.26063406235267983,128,64,0.0005359345036317984,6,0.4776119291782379
41,0.0001605042711941815,0.1064029270643658,256,16,0.00018854497926161322,2,0.8134328126907349
